,Panama_Confirmed,Panama_TotalTests,Panama_Home,Panama_Hospitalized,Panama_ICU,Panama_Deaths,Colombia_TotalTests,Chile_TotalTests,Costa Rica_Confirmed,Costa Rica_TotalTests,Costa Rica_Deaths,"Korea, South_Confirmed","Korea, South_TotalTests","Korea, South_Deaths",Peru_Confirmed,Peru_TotalTests,Peru_Home,Peru_Hospitalized,Peru_Deaths,Guatemala_TotalTests,Ecuador_Confirmed,Ecuador_TotalTests,Ecuador_Deaths,Peru_Shutdown,Ecuador_Shutdown,Honduras_Shutdown,Guatemala_Shutdown,Colombia_Shutdown,Panama_Shutdown
12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/2020,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,
1/21/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2020,,,,,,,,,,,,2,27,,,,,,,,,,,,,,,,
1/25/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2020,,,,,,,,,,,,3,51,,,,,,,,,,,,,,,,
1/27/2020,,,,,,,,,,,,4,61,,,,,,,,,,,,,,,,
1/28/2020,,,,,,,,,,,,,244,,,,,,,,,,,,,,,,
1/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/2020,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
1/31/2020,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,
2/1/2020,,,,,,,,,,,,12,371,,,,,,,,,,,,,,,,
2/2/2020,,,,,,,,,,,,15,429,,,,,,,,,,,,,,,,
2/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/2020,,,,,,,,,,,,16,607,,,,,,,,,,,,,,,,
2/5/2020,,,,,,,,,,,,18,714,,,,,,,,,,,,,,,,
2/6/2020,,,,,,,,,,,,23,885,,,,,,,,,,,,,,,,
2/7/2020,,,,,,,,,,,,24,1130,,,,,,,,,,,,,,,,
2/8/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/2020,,,,,,,,,,,,27,2598,,,,,,,,,,,,,,,,
2/10/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/2020,,,,,,,,,,,,28,3629,,,,,,,,,,,,,,,,
2/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/13/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/2020,,,,,,,,,,,,29,7919,,,,,,,,,,,,,,,,
2/18/2020,,,,,,,,,,,,30,8171,,,,,,,,,,,,,,,,
2/19/2020,,,,,,,,,,,,31,9265,,,,,,,,,,,,,,,,
2/20/2020,,,,,,,,,,,,51,11173,,,,,,,,,,,,,,,,
2/21/2020,,,,,,,,,,,,104,13202,1,,,,,,,,,,,,,,,
2/22/2020,,,,,,,,,,,,204,16400,2,,,,,,,,,,,,,,,
2/23/2020,,,,,,,,,,,,433,21586,2,,,,,,,,,,,,,,,
2/24/2020,,,,,,,,,,,,602,25577,4,,,,,,,,,,,,,,,
2/25/2020,,,,,,,,,,,,833,31923,7,,,,,,,,,,,,,,,
2/26/2020,,,,,,,,,,,,977,40304,10,,,,,,,,,,,,,,,
2/27/2020,,,,,,,,,,,,1261,53553,12,,,,,,,,,,,,,,,
2/28/2020,,,,,,,,,,,,1766,66652,13,,,,,,,,,,,,,,,
2/29/2020,,,,,,,,,,,,2337,81167,13,,,,,,,1,,0,,,,,,
3/1/2020,,,,,,,,,,,,3150,94055,17,,,,,,,6,,0,,,,,,
3/2/2020,,,,,,,,,,,,4212,109591,22,,,,,,,,,0,,,,,,
3/3/2020,,,,,,,,,,,,4812,125851,28,,,,,,,11,,0,,,,,,
3/4/2020,,,,,,,,,,,,5328,136707,32,,,,,,,14,,0,,,,,,
3/5/2020,,,,,,,,,,,,5766,146541,35,,,,,,,,,0,,,,,,
3/6/2020,,,,,,,,,1,,,5284,164740,42,1,155,,,0,,,,0,,,,,,
3/7/2020,,,,,,,,,5,,,6767,178189,44,6,219,,,0,,,,0,,,,,,
3/8/2020,,,,,,,,,9,,,7134,188518,50,7,257,,,0,,15,,0,,,,,,
3/9/2020,1,105,4,0,0,0,,,9,,,7382,196618,51,9,318,,,0,,,,0,,,,,,
3/10/2020,8,146,6,1,1,0,,,13,72,,7513,210144,54,11,346,,,0,,17,,0,,,,,,
3/11/2020,14,194,9,3,1,1,,,22,140,,7755,222395,60,17,714,,,0,,,,0,,,,,,
3/12/2020,27,401,21,4,1,1,,,23,229,,7869,234998,66,22,905,,,0,,,,0,,,,,,
3/13/2020,36,649,30,4,1,1,,,26,315,,7979,248647,67,38,1232,,,0,,23,,1,,,,,,
3/14/2020,43,857,37,3,2,1,,,27,442,,8086,261335,72,43,1545,,,0,,28,,2,,,,,,
3/15/2020,55,976,44,4,6,1,,,35,485,,8162,268212,75,71,1822,,,0,75,37,,2,,,,,,
3/16/2020,69,1073,57,4,7,1,,,41,656,,8236,274504,75,86,2315,,,0,,58,,2,1,1,1,1,,
3/17/2020,86,1245,71,6,8,1,,,50,770,,8320,286716,81,117,2797,,,0,,111,,2,,,,,,
3/18/2020,109,1455,91,8,9,1,,,69,924,,8413,295647,84,145,3075,,,0,,168,762,3,,,,,,
3/19/2020,137,1768,115,11,10,1,3600,,87,1038,1,8565,307024,91,234,4075,,,3,,260,1153,4,,,,,1,1
3/20/2020,200,2169,171,17,11,1,,,113,1159,2,8652,316664,94,263,4298,,,4,244,426,1670,7,,,,,,
3/21/2020,245,2472,208,22,12,3,,,117,1307,2,8799,327509,102,318,5303,,,5,,532,2051,7,,,,,,
3/22/2020,313,3099,268,29,13,3,,,134,1534,2,8897,331780,104,363,6184,329,29,5,,789,2360,14,,,,,,
3/23/2020,345,3233,289,33,17,6,,,158,1691,2,8961,338036,111,395,6269,360,30,5,,981,2780,18,,,,,,
3/24/2020,443,3690,381,39,15,8,,,177,1796,2,9037,348582,120,416,7013,381,28,7,491,1082,3618,27,,,,,,
3/25/2020,558,4248,484,46,20,8,,,201,1885,2,9137,357896,126,480,8040,422,50,9,,1211,4290,29,,,,,,
3/26/2020,674,4856,580,60,23,9,,23105,231,2562,2,9241,364942,131,580,9219,513,58,9,,1403,5090,34,,,,,,
3/27/2020,786,5222,662,80,28,14,9220,26639,263,3049,2,9332,376961,139,635,10065,545,79,11,,1627,5915,41,,,,,,
3/28/2020,901,5762,753,95,32,17,10648,,295,3207,2,9478,387925,144,671,10896,571,84,16,,1835,6615,48,,,,,,
3/29/2020,989,6160,820,105,36,24,12216,,314,3431,2,9583,394141,152,852,12669,729,107,16,,1924,6992,58,,,,,,
3/30/2020,1075,6582,888,109,43,26,13803,,330,3696,2,9661,395194,158,950,13452,688,238,24,,1966,7451,62,,,,,,
3/31/2020,1181,6944,969,123,50,30,17580,,347,3847,2,9786,410564,162,1065,14463,845,190,30,,2302,8251,79,,,,,,
4/1/2020,1317,7333,1078,135,63,32,19970,,375,4220,2,9887,421547,165,1323,15587,1078,198,47,,2758,9019,98,,,,,,
